Розыгрыш;Дата проведения;Лототрон;Набор;Шар номер 1;Шар номер 2;Шар номер 3;Шар номер 4;Шар номер 5;Шар номер 6;победителей угадавших 3 номера;приз за 3 номеров;победителей угадавших 4 номера;приз за 4 номеров;победителей угадавших 5 номеров;приз за 5 номеров;победителей угадавших 6 номеров;приз за 6 номеров;
538;2006-06-03;А;1;42;18;39;10;27;2;21964;5;1162;101;28;2637;0;9400000;
537;2006-05-31;А;4;28;5;18;44;38;53;22326;5;1146;107;19;4058;0;9300000;
536;2006-05-27;Б;4;7;24;2;14;48;23;22307;5;1055;114;14;5384;0;9200000;
535;2006-05-24;А;4;11;43;46;10;47;22;22288;5;1056;117;23;3358;0;9100000;
534;2006-05-20;Б;3;33;39;53;7;44;1;26011;5;1246;97;22;3454;0;9000000;
533;2006-05-17;Б;2;5;14;16;2;6;12;25138;5;1422;80;22;3250;0;8900000;
532;2006-05-13;А;3;47;33;48;54;15;12;18417;5;973;113;20;3443;0;8800000;
531;2006-05-10;Б;2;18;32;31;27;42;21;18499;5;869;113;12;5117;0;8600000;
530;2006-05-06;А;2;11;22;46;28;18;4;24921;5;1403;78;25;2736;0;8400000;
529;2006-05-03;Б;3;38;19;25;32;10;5;20251;5;979;94;17;3417;0;8200000;
528;2006-04-29;А;4;50;27;45;30;32;52;20850;5;1067;109;10;7306;0;8000000;
527;2006-04-26;Б;3;47;39;35;36;44;5;16255;5;736;132;11;5537;0;7500000;
526;2006-04-22;А;1;28;34;16;15;25;10;23190;5;1165;89;12;5410;0;7000000;
525;2006-04-19;Б;4;32;38;37;8;29;19;22721;5;1172;76;16;3508;0;6600000;
524;2006-04-15;А;4;49;6;36;25;26;24;15000;5;670;136;6;9538;0;6300000;
523;2006-04-12;А;2;16;12;47;54;7;48;14560;5;610;149;5;11434;0;6000000;
522;2006-04-08;Б;2;36;1;41;51;39;23;13332;5;594;144;5;10757;0;5600000;
521;2006-04-05;А;4;1;52;54;15;8;16;12731;5;522;153;7;7134;0;5300000;
520;2006-04-01;Б;4;1;29;3;53;11;47;13149;5;605;125;14;3394;0;5000000;
519;2006-03-29;Б;2;20;38;8;11;33;37;14700;5;752;88;14;2958;0;4600000;
518;2006-03-25;Б;1;23;31;7;36;42;25;13772;5;556;126;7;6290;0;4300000;
517;2006-03-22;А;2;44;6;20;33;51;37;13788;5;736;93;20;2155;0;4000000;
516;2006-03-18;А;3;17;5;20;29;24;8;15637;5;803;82;12;3464;0;3750000;
515;2006-03-15;А;3;10;54;37;26;22;44;12633;5;620;104;9;4520;0;3500000;
514;2006-03-11;А;4;7;10;25;38;16;48;13584;5;687;94;8;5057;0;3250000;
513;2006-03-08;Б;3;51;48;3;42;15;44;10818;5;482;128;11;3519;0;3000000;
512;2006-03-04;А;2;21;7;19;53;16;24;12627;5;615;97;15;2493;0;2500000;
511;2006-03-01;А;3;9;34;31;19;36;16;11394;5;550;101;6;5824;0;2000000;
510;2006-02-25;А;4;17;49;13;1;14;23;12341;5;605;89;10;3387;0;1500000;
509;2006-02-22;А;3;47;9;2;24;50;8;10884;5;503;121;6;6352;0;1000000;
508;2006-02-18;Б;4;11;32;41;19;24;27;22171;5;1122;92;16;4048;1;6600000;
507;2006-02-15;Б;2;38;17;45;21;37;46;20785;5;947;107;18;3526;0;6300000;
506;2006-02-11;Б;3;15;36;20;5;54;16;17616;5;760;137;9;7263;0;6000000;
505;2006-02-08;А;4;38;45;26;16;48;42;14703;5;639;147;7;8419;0;5750000;
504;2006-02-04;Б;1;41;13;46;10;53;52;14439;5;651;140;7;8150;0;5500000;
503;2006-02-01;Б;4;38;6;37;29;9;45;15948;5;789;104;10;5166;0;5300000;
502;2006-01-28;А;1;5;11;33;19;6;12;18492;5;951;78;24;1952;0;5150000;
501;2006-01-25;А;2;17;39;29;26;24;16;13833;5;670;110;11;4198;0;5000000;
500;2006-01-21;А;4;48;23;29;28;43;33;9723;5;401;158;87;455;0;4800000;
499;2006-01-18;А;3;12;26;50;17;22;54;10903;5;446;152;5;8482;0;4650000;
498;2006-01-14;Б;1;27;10;43;36;54;8;11215;5;536;118;10;3984;0;4500000;
497;2006-01-11;Б;2;33;52;21;1;50;51;11481;5;511;113;10;3627;0;4300000;
496;2006-01-07;Б;4;43;53;54;9;49;7;9665;5;417;128;10;3338;0;4200000;
495;2006-01-04;Б;3;29;50;6;19;15;3;11008;5;534;97;9;3625;0;4100000;
494;2005-12-31;Б;1;19;51;25;49;27;54;14328;5;645;129;15;3482;0;4000000;
493;2005-12-28;Б;1;6;13;50;32;3;46;11490;5;554;115;9;4452;0;3500000;
492;2005-12-24;Б;2;13;39;21;29;51;27;12701;5;732;79;10;3614;0;3250000;
491;2005-12-21;Б;3;22;3;25;40;21;39;13358;5;878;58;9;3567;0;3000000;
490;2005-12-17;А;1;34;25;39;23;3;40;10358;5;520;90;10;2952;0;2500000;
489;2005-12-14;Б;3;43;37;38;30;8;49;7503;5;339;135;3;9560;0;2000000;
488;2005-12-10;А;2;32;18;4;5;22;47;8345;5;383;116;9;3088;0;1750000;
487;2005-12-07;Б;4;5;38;36;27;48;39;7029;5;291;146;2;13331;0;1500000;
486;2005-12-03;А;3;1;42;30;5;31;40;7208;5;311;117;5;4560;0;1250000;
485;2005-11-30;Б;1;49;40;47;19;43;23;11541;5;609;67;14;1834;0;1000000;
484;2005-11-26;А;3;9;16;35;42;46;13;9763;5;488;89;6;4531;0;900000;
483;2005-11-23;А;1;32;39;48;42;37;20;8981;5;474;86;8;3184;0;825000;
482;2005-11-19;Б;4;2;18;45;22;49;16;10710;5;556;74;11;2339;0;750000;
481;2005-11-16;Б;4;49;3;44;34;25;28;11844;5;628;73;9;3198;1;1400000;
480;2005-11-12;А;3;21;48;19;47;15;34;10448;5;468;102;11;2716;0;1300000;
479;2005-11-09;А;1;47;10;16;1;11;36;9971;5;455;100;5;5697;0;1200000;
478;2005-11-05;А;4;6;34;41;28;7;46;10438;5;458;99;7;4081;0;1100000;
477;2005-11-02;Б;2;8;40;21;12;34;10;13332;5;749;54;14;1824;0;1000000;
476;2005-10-29;Б;3;13;10;32;15;4;40;12952;5;777;49;21;1155;0;900000;
475;2005-10-26;А;3;23;14;16;9;41;40;11597;5;672;58;8;3045;0;825000;
474;2005-10-22;А;2;7;13;43;47;20;44;11157;5;515;75;7;3473;0;750000;
473;2005-10-19;Б;2;44;9;49;36;43;39;10229;5;582;75;20;1376;1;1200000;
472;2005-10-15;Б;1;49;28;47;25;16;18;9441;5;480;94;8;3530;0;1100000;
471;2005-10-12;А;3;36;35;17;30;37;40;8442;5;420;102;5;5399;0;1000000;
470;2005-10-08;А;1;2;5;17;7;24;14;13323;5;810;49;19;1305;0;900000;
469;2005-10-05;А;1;22;1;45;3;40;30;11354;5;706;55;18;1356;0;825000;
468;2005-10-01;А;1;17;47;23;11;26;21;9999;5;471;80;6;3952;0;750000;
467;2005-09-28;А;3;47;23;5;26;37;12;9523;5;486;82;12;2085;1;825000;
466;2005-09-24;Б;2;6;46;18;23;32;5;9449;5;515;78;11;2290;0;750000;
465;2005-09-21;Б;2;43;14;9;30;40;23;11983;5;720;59;15;1782;1;1150000;
464;2005-09-17;А;2;41;21;43;32;30;26;9636;5;458;93;5;5339;0;1075000;
463;2005-09-14;А;2;22;31;30;23;6;4;10309;5;556;73;19;1349;0;1000000;
462;2005-09-10;Б;2;31;9;2;46;33;17;13511;5;879;48;17;1561;1;1500000;
461;2005-09-07;А;2;38;25;6;48;28;30;9519;5;464;99;8;3597;0;1400000;
460;2005-09-03;Б;2;40;28;45;13;30;44;10543;5;528;81;7;3828;0;1300000;
459;2005-08-31;Б;3;16;48;39;17;10;44;8240;5;325;134;7;3893;0;1225000;
458;2005-08-27;А;4;48;3;10;25;30;43;10125;5;524;84;8;3456;0;1150000;
457;2005-08-24;Б;3;41;17;22;24;46;6;7942;5;422;90;14;1711;0;1075000;
456;2005-08-20;А;4;46;41;30;11;6;44;8902;5;431;100;4;6792;0;1000000;
455;2005-08-17;Б;3;5;19;21;36;10;11;15082;5;1036;43;31;914;1;1750000;
454;2005-08-13;А;4;17;25;45;38;9;44;13535;5;770;59;17;1672;0;1600000;
453;2005-08-10;Б;4;32;47;19;9;1;43;13811;5;826;54;19;1480;0;1450000;
452;2005-08-06;А;4;25;9;38;36;22;49;11313;5;684;64;12;2306;0;1300000;
451;2005-08-03;А;3;49;45;6;42;31;18;9328;5;452;96;4;6840;0;1150000;
450;2005-07-30;Б;4;4;14;33;39;12;47;10972;5;559;79;13;2143;0;1000000;
449;2005-07-27;А;3;49;20;14;2;28;31;20843;5;1177;58;17;2552;1;4000000;
448;2005-07-23;А;1;24;36;26;46;15;20;13326;5;596;111;7;5942;0;3800000;
447;2005-07-20;А;2;22;21;3;26;5;32;19411;5;901;66;9;4181;0;3700000;
446;2005-07-16;Б;4;34;4;48;33;13;43;14744;5;825;72;18;2078;0;3600000;
445;2005-07-13;А;2;48;35;30;33;19;43;12874;5;592;103;10;3826;0;3500000;
